"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","73195","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingADrawing",""
"passed","","","65952","","test.sinup.TestSignupIOSiPhone11ProMax","","test.sinup.TestSignupIOSiPhone11ProMax","","agreeToOurTermsPrivacyPolicy",""
"passed","","","59828","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","trashDrawing",""
"passed","","","13037","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginPasswordCorrect",""
"passed","","","22827","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","followTheIg",""
"passed","","","47750","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNote",""
"broken","","","57752","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginLoginPasswordIncorrect",""
"passed","","","106935","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingAPicture",""
"broken","","","74549","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","cancelILoveNoteIt",""
