"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 15:53:51 GMT 2023","Wed Feb 01 15:54:06 GMT 2023","15220","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","testLoginPasswordCorrect","Login successful",""
"broken","Wed Feb 01 15:49:50 GMT 2023","Wed Feb 01 15:53:51 GMT 2023","240670","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","testLoginLoginPasswordIncorrect","Login Incorrect",""
