"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","57124","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginLoginPasswordIncorrect",""
"passed","","","21169","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","followTheIg",""
"passed","","","14059","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginPasswordCorrect",""
"passed","","","131007","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingAPicture",""
"passed","","","64988","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","trashDrawing",""
"passed","","","64220","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingADrawing",""
"passed","","","70456","","test.sinup.TestSignupIOSiPhone11ProMax","","test.sinup.TestSignupIOSiPhone11ProMax","","agreeToOurTermsPrivacyPolicy",""
"passed","","","58625","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNote",""
"passed","","","94455","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","cancelILoveNoteIt",""
