"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","54352","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","trashDrawing",""
"broken","","","58185","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","cancelILoveNoteIt",""
"passed","","","42158","","test.sinup.TestSignupIOSiPhone11ProMax","","test.sinup.TestSignupIOSiPhone11ProMax","","agreeToOurTermsPrivacyPolicy",""
"passed","","","57304","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingADrawing",""
"passed","","","12171","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginPasswordCorrect",""
"passed","","","40181","","test.login.TestLoginIOSiPhone11ProMax","","test.login.TestLoginIOSiPhone11ProMax","","testLoginLoginPasswordIncorrect",""
"passed","","","18641","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","test.menuSettings.TestMenuSettingsIOSiPhone11ProMax","","followTheIg",""
"passed","","","57854","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNote",""
"passed","","","134853","","test.drawing.TestDrawingIOSiPhone11ProMax","","test.drawing.TestDrawingIOSiPhone11ProMax","","sendNoteAfterTrashingAPicture",""
